timestamp,strategy,underlying,signal,contract,security_id,risk_decision,execution_decision,status,reason,bid,ask,ltp,fill_price
09:35:48,Strategy 4: Golden Trend Runner,NIFTY,BUY,NIFTY 22 SEP 23300 CALL,56985,APPROVED,NO_EXECUTION,NO_EXECUTION,DATA_UNAVAILABLE: Stale/Missing Ask Quote,,,,
09:35:48,Strategy 3: Confluence Gamma Scalper,NIFTY,BUY,NIFTY 22 SEP 23300 CALL,56985,APPROVED,NO_EXECUTION,NO_EXECUTION,DATA_UNAVAILABLE: Stale/Missing Ask Quote,,,,
09:35:48,Strategy 6: Micro Momentum Sniper,NIFTY,BUY (CE),NIFTY 22 SEP 23300 CALL,56985,APPROVED,NO_EXECUTION,NO_EXECUTION,DATA_UNAVAILABLE: Stale/Missing Ask Quote,,,,
09:36:49,Strategy 1: Apex VRP Engine,NIFTY,SELL (STRANGLE),NIFTY 22 SEP 23600 CALL / NIFTY 22 SEP 23000 PUT,57031 / 56956,APPROVED,NO_EXECUTION,NO_EXECUTION,DATA_UNAVAILABLE: Stale/Missing Bid Quote,,,,
09:36:49,Strategy 5: Velocity-5 Momentum Scalper,NIFTY,BUY,NIFTY 22 SEP 23300 CALL,56985,APPROVED,NO_EXECUTION,NO_EXECUTION,DATA_UNAVAILABLE: Stale/Missing Ask Quote,,,,
09:36:49,Strategy 4: Golden Trend Runner,NIFTY,BUY,NIFTY 22 SEP 23300 CALL,56985,APPROVED,NO_EXECUTION,NO_EXECUTION,DATA_UNAVAILABLE: Stale/Missing Ask Quote,,,,
09:36:49,Strategy 3: Confluence Gamma Scalper,NIFTY,BUY,NIFTY 22 SEP 23300 CALL,56985,APPROVED,NO_EXECUTION,NO_EXECUTION,DATA_UNAVAILABLE: Stale/Missing Ask Quote,,,,
09:36:49,Strategy 6: Micro Momentum Sniper,NIFTY,BUY (CE),NIFTY 22 SEP 23300 CALL,56985,APPROVED,NO_EXECUTION,NO_EXECUTION,DATA_UNAVAILABLE: Stale/Missing Ask Quote,,,,
09:37:50,Strategy 1: Apex VRP Engine,NIFTY,SELL (STRANGLE),NIFTY 22 SEP 23600 CALL / NIFTY 22 SEP 23000 PUT,57031 / 56956,APPROVED,NO_EXECUTION,NO_EXECUTION,DATA_UNAVAILABLE: Stale/Missing Bid Quote,,,,
09:37:50,Strategy 5: Velocity-5 Momentum Scalper,NIFTY,BUY,NIFTY 22 SEP 23300 CALL,56985,APPROVED,NO_EXECUTION,NO_EXECUTION,DATA_UNAVAILABLE: Stale/Missing Ask Quote,,,,
09:37:50,Strategy 4: Golden Trend Runner,NIFTY,BUY,NIFTY 22 SEP 23300 CALL,56985,APPROVED,NO_EXECUTION,NO_EXECUTION,DATA_UNAVAILABLE: Stale/Missing Ask Quote,,,,
09:37:50,Strategy 3: Confluence Gamma Scalper,NIFTY,BUY,NIFTY 22 SEP 23300 CALL,56985,APPROVED,NO_EXECUTION,NO_EXECUTION,DATA_UNAVAILABLE: Stale/Missing Ask Quote,,,,
09:37:50,Strategy 6: Micro Momentum Sniper,NIFTY,BUY (CE),NIFTY 22 SEP 23300 CALL,56985,APPROVED,NO_EXECUTION,NO_EXECUTION,DATA_UNAVAILABLE: Stale/Missing Ask Quote,,,,
09:38:51,Strategy 1: Apex VRP Engine,NIFTY,SELL (STRANGLE),NIFTY 22 SEP 23600 CALL / NIFTY 22 SEP 23000 PUT,57031 / 56956,APPROVED,NO_EXECUTION,NO_EXECUTION,DATA_UNAVAILABLE: Stale/Missing Bid Quote,,,,
09:38:51,Strategy 5: Velocity-5 Momentum Scalper,NIFTY,BUY,NIFTY 22 SEP 23300 CALL,56985,APPROVED,NO_EXECUTION,NO_EXECUTION,DATA_UNAVAILABLE: Stale/Missing Ask Quote,,,,
09:38:51,Strategy 4: Golden Trend Runner,NIFTY,BUY,NIFTY 22 SEP 23300 CALL,56985,APPROVED,NO_EXECUTION,NO_EXECUTION,DATA_UNAVAILABLE: Stale/Missing Ask Quote,,,,
09:38:51,Strategy 3: Confluence Gamma Scalper,NIFTY,BUY,NIFTY 22 SEP 23300 CALL,56985,APPROVED,NO_EXECUTION,NO_EXECUTION,DATA_UNAVAILABLE: Stale/Missing Ask Quote,,,,
09:38:51,Strategy 6: Micro Momentum Sniper,NIFTY,BUY (CE),NIFTY 22 SEP 23300 CALL,56985,APPROVED,NO_EXECUTION,NO_EXECUTION,DATA_UNAVAILABLE: Stale/Missing Ask Quote,,,,
09:39:52,Strategy 1: Apex VRP Engine,NIFTY,SELL (STRANGLE),NIFTY 22 SEP 23550 CALL / NIFTY 22 SEP 22950 PUT,57023 / 56948,APPROVED,NO_EXECUTION,NO_EXECUTION,DATA_UNAVAILABLE: Stale/Missing Bid Quote,,,,
09:39:52,Strategy 5: Velocity-5 Momentum Scalper,NIFTY,BUY,NIFTY 22 SEP 23250 CALL,56983,APPROVED,NO_EXECUTION,NO_EXECUTION,DATA_UNAVAILABLE: Stale/Missing Ask Quote,,,,
09:39:52,Strategy 4: Golden Trend Runner,NIFTY,BUY,NIFTY 22 SEP 23250 CALL,56983,APPROVED,NO_EXECUTION,NO_EXECUTION,DATA_UNAVAILABLE: Stale/Missing Ask Quote,,,,
09:39:52,Strategy 3: Confluence Gamma Scalper,NIFTY,BUY,NIFTY 22 SEP 23250 CALL,56983,APPROVED,NO_EXECUTION,NO_EXECUTION,DATA_UNAVAILABLE: Stale/Missing Ask Quote,,,,
09:39:52,Strategy 6: Micro Momentum Sniper,NIFTY,BUY (CE),NIFTY 22 SEP 23250 CALL,56983,APPROVED,NO_EXECUTION,NO_EXECUTION,DATA_UNAVAILABLE: Stale/Missing Ask Quote,,,,
09:40:53,Strategy 1: Apex VRP Engine,NIFTY,SELL (STRANGLE),NIFTY 22 SEP 23550 CALL / NIFTY 22 SEP 22950 PUT,57023 / 56948,APPROVED,NO_EXECUTION,NO_EXECUTION,DATA_UNAVAILABLE: Stale/Missing Bid Quote,,,,
09:40:53,Strategy 5: Velocity-5 Momentum Scalper,NIFTY,BUY,NIFTY 22 SEP 23250 CALL,56983,APPROVED,NO_EXECUTION,NO_EXECUTION,DATA_UNAVAILABLE: Stale/Missing Ask Quote,,,,
09:40:53,Strategy 4: Golden Trend Runner,NIFTY,BUY,NIFTY 22 SEP 23250 CALL,56983,APPROVED,NO_EXECUTION,NO_EXECUTION,DATA_UNAVAILABLE: Stale/Missing Ask Quote,,,,
09:40:53,Strategy 3: Confluence Gamma Scalper,NIFTY,BUY,NIFTY 22 SEP 23250 CALL,56983,APPROVED,NO_EXECUTION,NO_EXECUTION,DATA_UNAVAILABLE: Stale/Missing Ask Quote,,,,
09:40:53,Strategy 6: Micro Momentum Sniper,NIFTY,BUY (CE),NIFTY 22 SEP 23250 CALL,56983,APPROVED,NO_EXECUTION,NO_EXECUTION,DATA_UNAVAILABLE: Stale/Missing Ask Quote,,,,
09:41:54,Strategy 1: Apex VRP Engine,NIFTY,SELL (STRANGLE),NIFTY 22 SEP 23550 CALL / NIFTY 22 SEP 22950 PUT,57023 / 56948,APPROVED,NO_EXECUTION,NO_EXECUTION,DATA_UNAVAILABLE: Stale/Missing Bid Quote,,,,
09:41:54,Strategy 5: Velocity-5 Momentum Scalper,NIFTY,BUY,NIFTY 22 SEP 23250 CALL,56983,APPROVED,NO_EXECUTION,NO_EXECUTION,DATA_UNAVAILABLE: Stale/Missing Ask Quote,,,,
09:41:54,Strategy 4: Golden Trend Runner,NIFTY,BUY,NIFTY 22 SEP 23250 CALL,56983,APPROVED,NO_EXECUTION,NO_EXECUTION,DATA_UNAVAILABLE: Stale/Missing Ask Quote,,,,
09:41:54,Strategy 3: Confluence Gamma Scalper,NIFTY,BUY,NIFTY 22 SEP 23250 CALL,56983,APPROVED,NO_EXECUTION,NO_EXECUTION,DATA_UNAVAILABLE: Stale/Missing Ask Quote,,,,
09:41:54,Strategy 6: Micro Momentum Sniper,NIFTY,BUY (CE),NIFTY 22 SEP 23250 CALL,56983,APPROVED,NO_EXECUTION,NO_EXECUTION,DATA_UNAVAILABLE: Stale/Missing Ask Quote,,,,
09:42:55,Strategy 1: Apex VRP Engine,NIFTY,SELL (STRANGLE),NIFTY 22 SEP 23550 CALL / NIFTY 22 SEP 22950 PUT,57023 / 56948,APPROVED,NO_EXECUTION,NO_EXECUTION,DATA_UNAVAILABLE: Stale/Missing Bid Quote,,,,
09:42:55,Strategy 5: Velocity-5 Momentum Scalper,NIFTY,BUY,NIFTY 22 SEP 23250 CALL,56983,APPROVED,NO_EXECUTION,NO_EXECUTION,DATA_UNAVAILABLE: Stale/Missing Ask Quote,,,,
09:42:55,Strategy 4: Golden Trend Runner,NIFTY,BUY,NIFTY 22 SEP 23250 CALL,56983,APPROVED,NO_EXECUTION,NO_EXECUTION,DATA_UNAVAILABLE: Stale/Missing Ask Quote,,,,
09:42:55,Strategy 3: Confluence Gamma Scalper,NIFTY,BUY,NIFTY 22 SEP 23250 CALL,56983,APPROVED,NO_EXECUTION,NO_EXECUTION,DATA_UNAVAILABLE: Stale/Missing Ask Quote,,,,
09:42:55,Strategy 6: Micro Momentum Sniper,NIFTY,BUY (CE),NIFTY 22 SEP 23250 CALL,56983,APPROVED,NO_EXECUTION,NO_EXECUTION,DATA_UNAVAILABLE: Stale/Missing Ask Quote,,,,
09:43:59,Strategy 1: Apex VRP Engine,NIFTY,SELL (STRANGLE),NIFTY 22 SEP 23550 CALL / NIFTY 22 SEP 22950 PUT,57023 / 56948,APPROVED,NO_EXECUTION,NO_EXECUTION,DATA_UNAVAILABLE: Stale/Missing Bid Quote,29.65,,,
09:43:59,Strategy 5: Velocity-5 Momentum Scalper,NIFTY,BUY,NIFTY 22 SEP 23250 CALL,56983,APPROVED,NO_EXECUTION,NO_EXECUTION,DATA_UNAVAILABLE: Stale/Missing Ask Quote,,,,
09:43:59,Strategy 4: Golden Trend Runner,NIFTY,BUY,NIFTY 22 SEP 23250 CALL,56983,APPROVED,NO_EXECUTION,NO_EXECUTION,DATA_UNAVAILABLE: Stale/Missing Ask Quote,,,,
09:43:59,Strategy 3: Confluence Gamma Scalper,NIFTY,BUY,NIFTY 22 SEP 23250 CALL,56983,APPROVED,NO_EXECUTION,NO_EXECUTION,DATA_UNAVAILABLE: Stale/Missing Ask Quote,,,,
09:43:59,Strategy 6: Micro Momentum Sniper,NIFTY,BUY (CE),NIFTY 22 SEP 23250 CALL,56983,APPROVED,NO_EXECUTION,NO_EXECUTION,DATA_UNAVAILABLE: Stale/Missing Ask Quote,,,,
09:46:24,Strategy 1: Apex VRP Engine,NIFTY,SELL (STRANGLE),NIFTY 22 SEP 23550 CALL / NIFTY 22 SEP 22950 PUT,57023 / 56948,APPROVED,EXECUTED,EXECUTED,N/A,70.0,,,70.0
09:46:25,Strategy 5: Velocity-5 Momentum Scalper,NIFTY,BUY,NIFTY 22 SEP 23250 CALL,56983,APPROVED,EXECUTED,EXECUTED,N/A,,136.0,136.0,136.5
09:46:25,Strategy 4: Golden Trend Runner,NIFTY,BUY,NIFTY 22 SEP 23250 CALL,56983,APPROVED,EXECUTED,EXECUTED,N/A,,136.0,136.0,136.5
09:46:25,Strategy 3: Confluence Gamma Scalper,NIFTY,BUY,NIFTY 22 SEP 23250 CALL,56983,APPROVED,EXECUTED,EXECUTED,N/A,,136.0,136.0,136.5
09:46:25,Strategy 6: Micro Momentum Sniper,NIFTY,BUY (CE),NIFTY 22 SEP 23250 CALL,56983,APPROVED,EXECUTED,EXECUTED,N/A,,136.0,136.0,136.5
