trade_idx,signal_date,execution_date,expiry_date,dte_sessions,long_strike,short_strike,long_fill_price,short_fill_price,debit_pts,settlement_price,data_valid,synthetic_pricing,lookahead_status
127,2026-02-19,2026-02-19,2026-02-24,3,25400.0,25150.0,122.0,52.7,69.3,25424.65,1,0,CONTAMINATED_SAME_DAY_CLOSE
128,2026-02-24,2026-02-24,2026-03-02,4,25350.0,25100.0,131.4,64.0,67.4,24865.7,1,0,CONTAMINATED_SAME_DAY_CLOSE
129,2026-03-06,2026-03-06,2026-03-10,2,24400.0,24150.0,207.75,124.85,82.9,24261.6,1,0,CONTAMINATED_SAME_DAY_CLOSE
130,2026-03-11,2026-03-11,2026-03-17,4,23800.0,23550.0,254.65,170.25,84.4,23581.15,1,0,CONTAMINATED_SAME_DAY_CLOSE
131,2026-03-19,2026-03-19,2026-03-24,3,22950.0,22700.0,238.5,151.4,87.1,22912.4,1,0,CONTAMINATED_SAME_DAY_CLOSE
132,2026-04-15,2026-04-15,2026-04-21,4,24300.0,24550.0,184.25,84.55,99.7,24576.6,1,0,CONTAMINATED_SAME_DAY_CLOSE
133,2026-05-29,2026-05-29,2026-06-02,2,23500.0,23250.0,61.65,18.5,43.15,23483.55,1,0,CONTAMINATED_SAME_DAY_CLOSE
134,2026-06-05,2026-06-05,2026-06-09,2,23300.0,23050.0,87.15,25.3,61.85,23242.1,1,0,CONTAMINATED_SAME_DAY_CLOSE
135,2026-06-12,2026-06-12,2026-06-16,2,23650.0,23900.0,140.75,48.9,91.85,23989.15,1,0,CONTAMINATED_SAME_DAY_CLOSE
136,2026-07-02,2026-07-02,2026-07-07,3,24250.0,24500.0,83.8,15.3,68.5,24398.7,1,0,CONTAMINATED_SAME_DAY_CLOSE
137,2026-07-23,2026-07-23,2026-07-28,3,23800.0,23550.0,95.05,30.55,64.5,23985.35,1,0,CONTAMINATED_SAME_DAY_CLOSE
138,2026-07-31,2026-07-31,2026-08-04,2,24450.0,24700.0,54.85,5.85,49.0,24614.9,1,0,CONTAMINATED_SAME_DAY_CLOSE
139,2026-08-14,2026-08-14,2026-08-18,2,24300.0,24050.0,36.7,6.85,29.85,24154.9,1,0,CONTAMINATED_SAME_DAY_CLOSE
140,2026-09-01,2026-09-01,2026-09-08,5,24000.0,23750.0,128.65,45.05,83.6,23635.1,1,0,CONTAMINATED_SAME_DAY_CLOSE
