trade_id,strategy,signal_time,decision_time,order_time,fill_time,underlying,contract_symbol,strike,option_type,lot_size,entry_price,exit_price,primary_gross_pnl,independent_gross_pnl,brokerage,stt,exchange_charges,sebi_charges,stamp_duty,gst,slippage,primary_costs,independent_costs,primary_net_pnl,independent_net_pnl,reconciliation_status,contract_verification
TRD_2026_0020,golden_trend_buyer,2026-03-25 15:20:00,2026-03-27 09:15:00,2026-03-27 09:15:01,2026-03-27 09:15:02,NIFTY,NIFTY_23050.0_PE,23050.0,PE,65,100.0,233.98,8708.69,8708.69,40.0,15.21,7.6,0.0217,0.2,8.57,32.5,46.77,104.1,8661.92,8604.59,MISMATCH,UNVERIFIABLE
TRD_2026_0021,golden_trend_buyer,2026-03-27 15:20:00,2026-03-30 09:15:00,2026-03-30 09:15:01,2026-03-30 09:15:02,NIFTY,NIFTY_22800.0_PE,22800.0,PE,65,100.0,360.23,16915.13,16915.13,40.0,23.42,10.47,0.0299,0.2,9.09,32.5,66.84,115.71,16848.29,16799.42,MISMATCH,UNVERIFIABLE
TRD_2026_0022,golden_trend_buyer,2026-04-01 15:20:00,2026-04-02 09:15:00,2026-04-02 09:15:01,2026-04-02 09:15:02,NIFTY,NIFTY_22600.0_PE,22600.0,PE,65,100.0,48.02,-3378.38,-3378.38,40.0,3.12,3.37,0.0096,0.2,7.81,32.5,17.22,87.01,-3395.6,-3465.39,MISMATCH,UNVERIFIABLE
TRD_2026_0023,golden_trend_buyer,2026-04-08 15:20:00,2026-04-09 09:15:00,2026-04-09 09:15:01,2026-04-09 09:15:02,NIFTY,NIFTY_23850.0_PE,23850.0,PE,65,100.0,129.37,1909.06,1909.06,40.0,8.41,5.22,0.0149,0.2,8.14,32.5,30.15,94.48,1878.91,1814.58,MISMATCH,UNVERIFIABLE
TRD_2026_0024,golden_trend_buyer,2026-04-10 15:20:00,2026-04-13 09:15:00,2026-04-13 09:15:01,2026-04-13 09:15:02,NIFTY,NIFTY_23850.0_PE,23850.0,PE,65,100.0,107.53,489.75,489.75,40.0,6.99,4.72,0.0135,0.2,8.05,32.5,26.68,92.47,463.07,397.28,MISMATCH,UNVERIFIABLE
TRD_2026_0025,golden_trend_buyer,2026-04-15 15:20:00,2026-04-16 09:15:00,2026-04-16 09:15:01,2026-04-16 09:15:02,NIFTY,NIFTY_24300.0_CE,24300.0,CE,65,100.0,53.72,-3008.38,-3008.38,40.0,3.49,3.5,0.01,0.2,7.83,32.5,18.12,87.53,-3026.5,-3095.91,MISMATCH,UNVERIFIABLE
TRD_2026_0026,golden_trend_buyer,2026-04-17 15:20:00,2026-04-20 09:15:00,2026-04-20 09:15:01,2026-04-20 09:15:02,NIFTY,NIFTY_24350.0_CE,24350.0,CE,65,100.0,96.12,-252.07,-252.07,40.0,6.25,4.46,0.0127,0.2,8.01,32.5,24.86,91.43,-276.93,-343.5,MISMATCH,UNVERIFIABLE
TRD_2026_0027,golden_trend_buyer,2026-04-20 15:20:00,2026-04-21 09:15:00,2026-04-21 09:15:01,2026-04-21 09:15:02,NIFTY,NIFTY_24500.0_CE,24500.0,CE,65,100.0,152.77,3430.18,3430.18,40.0,9.93,5.75,0.0164,0.2,8.24,32.5,33.87,96.64,3396.31,3333.54,MISMATCH,UNVERIFIABLE
TRD_2026_0028,golden_trend_buyer,2026-04-27 15:20:00,2026-04-28 09:15:00,2026-04-28 09:15:01,2026-04-28 09:15:02,NIFTY,NIFTY_24150.0_CE,24150.0,CE,65,100.0,25.75,-4826.25,-4826.25,40.0,1.67,2.86,0.0082,0.2,7.72,32.5,13.68,84.96,-4839.93,-4911.21,MISMATCH,UNVERIFIABLE
TRD_2026_0029,golden_trend_buyer,2026-04-28 15:20:00,2026-04-29 09:15:00,2026-04-29 09:15:01,2026-04-29 09:15:02,NIFTY,NIFTY_24200.0_CE,24200.0,CE,65,100.0,97.72,-148.38,-148.38,40.0,6.35,4.5,0.0129,0.2,8.01,32.5,25.12,91.57,-173.5,-239.95,MISMATCH,UNVERIFIABLE
TRD_2026_0030,golden_trend_buyer,2026-04-30 15:20:00,2026-05-04 09:15:00,2026-05-04 09:15:01,2026-05-04 09:15:02,NIFTY,NIFTY_24100.0_CE,24100.0,CE,65,100.0,117.52,1138.69,1138.69,40.0,7.64,4.95,0.0141,0.2,8.09,32.5,28.26,93.39,1110.43,1045.3,MISMATCH,UNVERIFIABLE
TRD_2026_0031,golden_trend_buyer,2026-05-05 15:20:00,2026-05-06 09:15:00,2026-05-06 09:15:01,2026-05-06 09:15:02,NIFTY,NIFTY_24100.0_CE,24100.0,CE,65,100.0,237.09,8910.69,8910.69,40.0,15.41,7.67,0.0219,0.2,8.58,32.5,47.27,104.38,8863.42,8806.31,MISMATCH,UNVERIFIABLE
TRD_2026_0032,golden_trend_buyer,2026-05-06 15:20:00,2026-05-07 09:15:00,2026-05-07 09:15:01,2026-05-07 09:15:02,NIFTY,NIFTY_24350.0_CE,24350.0,CE,65,100.0,83.58,-1067.12,-1067.12,40.0,5.43,4.18,0.0119,0.2,7.95,32.5,22.87,90.27,-1089.99,-1157.39,MISMATCH,UNVERIFIABLE
TRD_2026_0033,golden_trend_buyer,2026-05-12 15:20:00,2026-05-13 09:15:00,2026-05-13 09:15:01,2026-05-13 09:15:02,NIFTY,NIFTY_23350.0_PE,23350.0,PE,65,100.0,18.13,-5321.32,-5321.32,40.0,1.18,2.69,0.0077,0.2,7.69,32.5,12.47,84.27,-5333.79,-5405.59,MISMATCH,UNVERIFIABLE
TRD_2026_0034,golden_trend_buyer,2026-05-15 15:20:00,2026-05-18 09:15:00,2026-05-18 09:15:01,2026-05-18 09:15:02,NIFTY,NIFTY_23600.0_PE,23600.0,PE,65,100.0,78.19,-1417.43,-1417.43,40.0,5.08,4.05,0.0116,0.2,7.93,32.5,22.01,89.77,-1439.44,-1507.2,MISMATCH,UNVERIFIABLE
TRD_2026_0035,golden_trend_buyer,2026-05-19 15:20:00,2026-05-20 09:15:00,2026-05-20 09:15:01,2026-05-20 09:15:02,NIFTY,NIFTY_23600.0_PE,23600.0,PE,65,100.0,60.51,-2566.88,-2566.88,40.0,3.93,3.65,0.0104,0.2,7.86,32.5,19.2,88.15,-2586.08,-2655.03,MISMATCH,UNVERIFIABLE
TRD_2026_0036,golden_trend_buyer,2026-05-25 15:20:00,2026-05-26 09:15:00,2026-05-26 09:15:01,2026-05-26 09:15:02,NIFTY,NIFTY_23900.0_PE,23900.0,PE,65,100.0,18.25,-5313.79,-5313.79,40.0,1.19,2.69,0.0077,0.2,7.69,32.5,12.49,84.28,-5326.28,-5398.07,MISMATCH,UNVERIFIABLE
TRD_2026_0037,golden_trend_buyer,2026-05-26 15:20:00,2026-05-27 09:15:00,2026-05-27 09:15:01,2026-05-27 09:15:02,NIFTY,NIFTY_23900.0_PE,23900.0,PE,65,100.0,88.06,-775.82,-775.82,40.0,5.72,4.28,0.0122,0.2,7.97,32.5,23.58,90.68,-799.4,-866.5,MISMATCH,UNVERIFIABLE
TRD_2026_0038,golden_trend_buyer,2026-05-27 15:20:00,2026-05-29 09:15:00,2026-05-29 09:15:01,2026-05-29 09:15:02,NIFTY,NIFTY_23850.0_PE,23850.0,PE,65,100.0,22.72,-5023.45,-5023.45,40.0,1.48,2.79,0.008,0.2,7.7,32.5,13.2,84.68,-5036.65,-5108.13,MISMATCH,UNVERIFIABLE
TRD_2026_0039,golden_trend_buyer,2026-05-29 15:20:00,2026-06-01 09:15:00,2026-06-01 09:15:01,2026-06-01 09:15:02,NIFTY,NIFTY_23500.0_PE,23500.0,PE,65,100.0,16.47,-5429.53,-5429.53,40.0,1.07,2.65,0.0076,0.2,7.68,32.5,12.2,84.11,-5441.73,-5513.64,MISMATCH,UNVERIFIABLE
TRD_2026_0040,golden_trend_buyer,2026-06-01 15:20:00,2026-06-02 09:15:00,2026-06-02 09:15:01,2026-06-02 09:15:02,NIFTY,NIFTY_23350.0_PE,23350.0,PE,65,100.0,16.49,-5427.87,-5427.87,40.0,1.07,2.65,0.0076,0.2,7.68,32.5,12.21,84.11,-5440.08,-5511.98,MISMATCH,UNVERIFIABLE
TRD_2026_0041,golden_trend_buyer,2026-06-02 15:20:00,2026-06-03 09:15:00,2026-06-03 09:15:01,2026-06-03 09:15:02,NIFTY,NIFTY_23250.0_PE,23250.0,PE,65,100.0,19.24,-5249.57,-5249.57,40.0,1.25,2.71,0.0078,0.2,7.69,32.5,12.64,84.36,-5262.21,-5333.93,MISMATCH,UNVERIFIABLE
TRD_2026_0042,golden_trend_buyer,2026-06-05 15:20:00,2026-06-08 09:15:00,2026-06-08 09:15:01,2026-06-08 09:15:02,NIFTY,NIFTY_23300.0_PE,23300.0,PE,65,100.0,187.81,5707.5,5707.5,40.0,12.21,6.55,0.0187,0.2,8.38,32.5,39.43,99.86,5668.07,5607.64,MISMATCH,UNVERIFIABLE
TRD_2026_0043,golden_trend_buyer,2026-06-10 15:20:00,2026-06-11 09:15:00,2026-06-11 09:15:01,2026-06-11 09:15:02,NIFTY,NIFTY_23200.0_PE,23200.0,PE,65,100.0,24.84,-4885.37,-4885.37,40.0,1.61,2.84,0.0081,0.2,7.71,32.5,13.54,84.87,-4898.91,-4970.24,MISMATCH,UNVERIFIABLE
TRD_2026_0044,golden_trend_buyer,2026-06-17 15:20:00,2026-06-18 09:15:00,2026-06-18 09:15:01,2026-06-18 09:15:02,NIFTY,NIFTY26JUL24100CE,24100.0,CE,65,100.0,132.89,2137.88,2137.88,40.0,8.64,5.3,0.0151,0.2,8.16,32.5,30.71,94.82,2107.17,2043.06,MISMATCH,EOD_SETTLEMENT_REPLAY
TRD_2026_0045,golden_trend_buyer,2026-06-19 15:20:00,2026-06-22 09:15:00,2026-06-22 09:15:01,2026-06-22 09:15:02,NIFTY,NIFTY_24050.0_CE,24050.0,CE,65,100.0,130.64,1991.32,1991.32,40.0,8.49,5.25,0.015,0.2,8.15,32.5,30.35,94.6,1960.97,1896.72,MISMATCH,UNVERIFIABLE
TRD_2026_0046,golden_trend_buyer,2026-06-24 15:20:00,2026-06-25 09:15:00,2026-06-25 09:15:01,2026-06-25 09:15:02,NIFTY,NIFTY_24100.0_CE,24100.0,CE,65,100.0,81.27,-1217.32,-1217.32,40.0,5.28,4.12,0.0118,0.2,7.94,32.5,22.5,90.05,-1239.82,-1307.37,MISMATCH,UNVERIFIABLE
TRD_2026_0047,golden_trend_buyer,2026-06-30 15:20:00,2026-07-01 09:15:00,2026-07-01 09:15:01,2026-07-01 09:15:02,NIFTY,NIFTY_24050.0_CE,24050.0,CE,65,100.0,30.82,-4496.9,-4496.9,40.0,2.0,2.98,0.0085,0.2,7.74,32.5,14.49,85.43,-4511.39,-4582.33,MISMATCH,UNVERIFIABLE
TRD_2026_0048,golden_trend_buyer,2026-07-01 15:20:00,2026-07-02 09:15:00,2026-07-02 09:15:01,2026-07-02 09:15:02,NIFTY,NIFTY_24050.0_CE,24050.0,CE,65,100.0,169.19,4497.31,4497.31,40.0,11.0,6.12,0.0175,0.2,8.3,32.5,36.48,98.14,4460.83,4399.17,MISMATCH,UNVERIFIABLE
TRD_2026_0049,golden_trend_buyer,2026-07-02 15:20:00,2026-07-03 09:15:00,2026-07-03 09:15:01,2026-07-03 09:15:02,NIFTY,NIFTY_24200.0_CE,24200.0,CE,65,100.0,141.96,2727.68,2727.68,40.0,9.23,5.5,0.0157,0.2,8.19,32.5,32.15,95.64,2695.53,2632.04,MISMATCH,UNVERIFIABLE
TRD_2026_0050,golden_trend_buyer,2026-07-03 15:20:00,2026-07-06 09:15:00,2026-07-06 09:15:01,2026-07-06 09:15:02,NIFTY,NIFTY_24400.0_CE,24400.0,CE,65,100.0,128.71,1866.12,1866.12,40.0,8.37,5.2,0.0149,0.2,8.14,32.5,30.04,94.42,1836.08,1771.7,MISMATCH,UNVERIFIABLE
TRD_2026_0051,golden_trend_buyer,2026-07-06 15:20:00,2026-07-07 09:15:00,2026-07-07 09:15:01,2026-07-07 09:15:02,NIFTY,NIFTY_24450.0_CE,24450.0,CE,65,100.0,42.71,-3724.07,-3724.07,40.0,2.78,3.25,0.0093,0.2,7.79,32.5,16.37,86.53,-3740.44,-3810.6,MISMATCH,UNVERIFIABLE
TRD_2026_0052,golden_trend_buyer,2026-07-09 15:20:00,2026-07-10 09:15:00,2026-07-10 09:15:01,2026-07-10 09:15:02,NIFTY,NIFTY_24150.0_CE,24150.0,CE,65,100.0,139.71,2581.19,2581.19,40.0,9.08,5.45,0.0156,0.2,8.18,32.5,31.79,95.43,2549.4,2485.76,MISMATCH,UNVERIFIABLE
TRD_2026_0053,golden_trend_buyer,2026-07-10 15:20:00,2026-07-13 09:15:00,2026-07-13 09:15:01,2026-07-13 09:15:02,NIFTY,NIFTY_24250.0_CE,24250.0,CE,65,100.0,31.15,-4475.01,-4475.01,40.0,2.02,2.98,0.0085,0.2,7.74,32.5,14.54,85.45,-4489.55,-4560.46,MISMATCH,UNVERIFIABLE
TRD_2026_0054,golden_trend_buyer,2026-07-14 15:20:00,2026-07-15 09:15:00,2026-07-15 09:15:01,2026-07-15 09:15:02,NIFTY,NIFTY_24150.0_CE,24150.0,CE,65,100.0,32.3,-4400.19,-4400.19,40.0,2.1,3.01,0.0086,0.2,7.74,32.5,14.72,85.56,-4414.91,-4485.75,MISMATCH,UNVERIFIABLE
TRD_2026_0055,golden_trend_buyer,2026-07-16 15:20:00,2026-07-17 09:15:00,2026-07-17 09:15:01,2026-07-17 09:15:02,NIFTY,NIFTY_24200.0_CE,24200.0,CE,65,100.0,181.29,5283.88,5283.88,40.0,11.78,6.4,0.0183,0.2,8.36,32.5,38.4,99.26,5245.48,5184.62,MISMATCH,UNVERIFIABLE
TRD_2026_0056,golden_trend_buyer,2026-07-29 15:20:00,2026-07-30 09:15:00,2026-07-30 09:15:01,2026-07-30 09:15:02,NIFTY,NIFTY_24300.0_CE,24300.0,CE,65,100.0,118.48,1201.19,1201.19,40.0,7.7,4.97,0.0142,0.2,8.1,32.5,28.42,93.48,1172.77,1107.71,MISMATCH,UNVERIFIABLE
TRD_2026_0057,golden_trend_buyer,2026-07-30 15:20:00,2026-07-31 09:15:00,2026-07-31 09:15:01,2026-07-31 09:15:02,NIFTY,NIFTY_24350.0_CE,24350.0,CE,65,100.0,122.36,1453.25,1453.25,40.0,7.95,5.06,0.0145,0.2,8.11,32.5,29.03,93.83,1424.22,1359.42,MISMATCH,UNVERIFIABLE
TRD_2026_0058,golden_trend_buyer,2026-07-31 15:20:00,2026-08-03 09:15:00,2026-08-03 09:15:01,2026-08-03 09:15:02,NIFTY,NIFTY_24450.0_CE,24450.0,CE,65,100.0,261.83,10519.13,10519.13,40.0,17.02,8.23,0.0235,0.2,8.69,32.5,51.2,106.66,10467.93,10412.47,MISMATCH,UNVERIFIABLE
TRD_2026_0059,golden_trend_buyer,2026-08-21 15:20:00,2026-08-24 09:15:00,2026-08-24 09:15:01,2026-08-24 09:15:02,NIFTY,NIFTY_24200.0_PE,24200.0,PE,65,100.0,58.75,-2681.19,-2681.19,40.0,3.82,3.61,0.0103,0.2,7.85,32.5,18.92,87.99,-2700.11,-2769.18,MISMATCH,UNVERIFIABLE
TRD_2026_0060,golden_trend_buyer,2026-08-24 15:20:00,2026-08-25 09:15:00,2026-08-25 09:15:01,2026-08-25 09:15:02,NIFTY,NIFTY_24150.0_PE,24150.0,PE,65,100.0,62.24,-2454.36,-2454.36,40.0,4.05,3.69,0.0105,0.2,7.87,32.5,19.48,88.32,-2473.84,-2542.68,MISMATCH,UNVERIFIABLE
TRD_2026_0061,golden_trend_buyer,2026-08-26 15:20:00,2026-08-27 09:15:00,2026-08-27 09:15:01,2026-08-27 09:15:02,NIFTY,NIFTY26SEP24200PE,24200.0,PE,65,100.0,59.54,-2629.79,-2629.79,40.0,3.87,3.63,0.0104,0.2,7.86,32.5,19.05,88.07,-2648.84,-2717.86,MISMATCH,EOD_SETTLEMENT_REPLAY
TRD_2026_0062,golden_trend_buyer,2026-08-27 15:20:00,2026-08-28 09:15:00,2026-08-28 09:15:01,2026-08-28 09:15:02,NIFTY,NIFTY_24100.0_PE,24100.0,PE,65,100.0,57.71,-2748.98,-2748.98,40.0,3.75,3.59,0.0103,0.2,7.85,32.5,18.76,87.9,-2767.74,-2836.88,MISMATCH,UNVERIFIABLE
TRD_2026_0063,golden_trend_buyer,2026-08-28 15:20:00,2026-08-31 09:15:00,2026-08-31 09:15:01,2026-08-31 09:15:02,NIFTY,NIFTY_24100.0_PE,24100.0,PE,65,100.0,98.05,-126.94,-126.94,40.0,6.37,4.51,0.0129,0.2,8.01,32.5,25.17,91.6,-152.11,-218.54,MISMATCH,UNVERIFIABLE
TRD_2026_0064,golden_trend_buyer,2026-08-31 15:20:00,2026-09-01 09:15:00,2026-09-01 09:15:01,2026-09-01 09:15:02,NIFTY,NIFTY_24000.0_PE,24000.0,PE,65,100.0,57.14,-2786.14,-2786.14,40.0,3.71,3.57,0.0102,0.2,7.84,32.5,18.67,87.83,-2804.81,-2873.97,MISMATCH,UNVERIFIABLE
TRD_2026_0065,golden_trend_buyer,2026-09-01 15:20:00,2026-09-02 09:15:00,2026-09-02 09:15:01,2026-09-02 09:15:02,NIFTY,NIFTY_23950.0_PE,23950.0,PE,65,100.0,120.96,1362.13,1362.13,40.0,7.86,5.03,0.0144,0.2,8.11,32.5,28.81,93.71,1333.32,1268.42,MISMATCH,UNVERIFIABLE
TRD_2026_0066,golden_trend_buyer,2026-09-04 15:20:00,2026-09-07 09:15:00,2026-09-07 09:15:01,2026-09-07 09:15:02,NIFTY,NIFTY_23900.0_PE,23900.0,PE,65,100.0,164.18,4172.0,4172.0,40.0,10.67,6.01,0.0172,0.2,8.28,32.5,35.68,97.68,4136.32,4074.32,MISMATCH,UNVERIFIABLE
TRD_2026_0067,golden_trend_buyer,2026-09-07 15:20:00,2026-09-08 09:15:00,2026-09-08 09:15:01,2026-09-08 09:15:02,NIFTY,NIFTY_23750.0_PE,23750.0,PE,65,100.0,156.54,3675.13,3675.13,40.0,10.18,5.84,0.0167,0.2,8.25,32.5,34.47,96.99,3640.66,3578.14,MISMATCH,UNVERIFIABLE
TRD_2026_0068,golden_trend_buyer,2026-09-08 15:20:00,2026-09-09 09:15:00,2026-09-09 09:15:01,2026-09-09 09:15:02,NIFTY,NIFTY_23600.0_PE,23600.0,PE,65,100.0,205.38,6849.69,6849.69,40.0,13.35,6.95,0.0198,0.2,8.45,32.5,42.23,101.47,6807.46,6748.22,MISMATCH,UNVERIFIABLE
TRD_2026_0069,golden_trend_buyer,2026-09-09 15:20:00,2026-09-10 09:15:00,2026-09-10 09:15:01,2026-09-10 09:15:02,NIFTY,NIFTY_23450.0_PE,23450.0,PE,65,100.0,74.53,-1655.25,-1655.25,40.0,4.84,3.97,0.0113,0.2,7.92,32.5,21.43,89.44,-1676.68,-1744.69,MISMATCH,UNVERIFIABLE
TRD_2026_0070,golden_trend_buyer,2026-09-10 15:20:00,2026-09-11 09:15:00,2026-09-11 09:15:01,2026-09-11 09:15:02,NIFTY,NIFTY_23400.0_PE,23400.0,PE,65,100.0,90.1,-643.5,-643.5,40.0,5.86,4.32,0.0124,0.2,7.98,32.5,23.91,90.87,-667.41,-734.37,MISMATCH,UNVERIFIABLE
TRD_2026_0071,golden_trend_buyer,2026-09-11 15:20:00,2026-09-15 09:15:00,2026-09-15 09:15:01,2026-09-15 09:15:02,NIFTY,NIFTY26SEP23250PE,23250.0,PE,65,100.0,50.61,-3210.61,-3210.61,40.0,3.29,3.43,0.0098,0.2,7.82,32.5,17.63,87.25,-3228.24,-3297.86,MISMATCH,EOD_SETTLEMENT_REPLAY
TRD_2026_0072,golden_trend_buyer,2026-09-15 15:20:00,2026-09-16 09:15:00,2026-09-16 09:15:01,2026-09-16 09:15:02,NIFTY,NIFTY_23100.0_PE,23100.0,PE,65,100.0,45.59,-3536.38,-3536.38,40.0,2.96,3.31,0.0095,0.2,7.8,32.5,16.83,86.78,-3553.21,-3623.16,MISMATCH,UNVERIFIABLE
